,0
0,11
1,42
2,36
3,2
4,44
5,40
6,41
7,1
8,30
9,44
10,27
11,0
12,31
13,16
14,43
15,22
16,9
17,44
18,18
19,34
20,31
21,34
22,13
23,19
24,18
25,38
26,33
27,3
28,34
29,41
30,8
31,20
32,35
33,23
34,28
35,13
36,8
37,27
38,14
39,1
40,14
41,3
42,47
43,30
44,34
45,9
46,45
47,41
48,43
49,36
50,20
51,11
52,24
53,18
54,49
55,23
56,28
57,5
58,37
59,12
60,20
61,22
62,20
63,39
64,45
65,18
66,33
67,43
68,40
69,18
70,48
71,36
72,43
73,48
74,15
75,3
76,20
77,23
78,13
79,12
80,35
81,1
82,49
83,9
84,2
85,39
86,10
87,1
88,16
89,18
90,19
91,32
92,12
93,8
94,5
95,28
96,33
97,0
98,41
99,11
100,2
101,11
102,48
103,17
104,15
105,32
106,4
107,9
108,47
109,26
110,14
111,46
112,22
113,34
114,17
115,16
116,36
117,26
118,11
119,43
120,8
121,23
122,39
123,34
124,44
125,22
126,13
127,19
128,26
129,31
130,8
131,3
132,33
133,7
134,16
135,9
136,34
137,47
138,7
139,6
140,4
141,47
142,18
143,10
144,12
145,44
146,38
147,28
148,41
149,41
150,29
151,35
152,43
153,23
154,11
155,17
156,8
157,17
158,37
159,23
160,3
161,44
162,40
163,41
164,29
165,32
166,14
167,19
168,32
169,11
170,30
171,29
172,12
173,10
174,43
175,4
176,9
177,22
178,14
179,31
180,13
181,9
182,12
183,17
184,6
185,19
186,30
187,3
188,35
189,19
190,26
191,42
192,13
193,2
194,47
195,47
196,31
197,3
198,47
199,14
200,17
201,12
202,44
203,7
204,27
205,34
206,0
207,29
208,2
209,19
210,41
211,31
212,9
213,32
214,18
215,32
216,8
217,40
218,8
219,21
220,23
221,47
222,19
223,20
224,23
225,39
226,30
227,19
228,13
229,37
230,7
231,36
232,10
233,15
234,5
235,7
236,30
237,44
238,13
239,14
240,26
241,44
242,14
243,40
244,28
245,23
246,5
247,40
248,13
249,25
250,3
251,43
252,23
253,14
254,10
255,17
256,9
257,2
258,35
259,48
260,2
261,39
262,36
263,37
264,12
265,33
266,3
267,10
268,23
269,40
270,25
271,35
272,13
273,48
274,33
275,16
276,17
277,20
278,17
279,37
280,27
281,13
282,30
283,11
284,27
285,25
286,9
287,8
288,49
289,13
290,12
291,4
292,22
293,0
294,17
295,31
296,9
297,18
298,7
299,40
300,11
301,12
302,9
303,39
304,16
305,13
306,14
307,35
308,7
309,22
310,30
311,27
312,34
313,3
314,15
315,13
316,23
317,2
318,18
319,1
320,31
321,11
322,24
323,20
