,age,body_type,diet,drinks,drugs,education,ethnicity,height,job,sign,smokes,chinese,english,german,hindi,italian,japanese,portuguese,russian,spanish,has kids,wants kids,likes dogs,likes cats,new_religion,k-proto-labels
0,26.0,5.0,vegan,2.0,sometimes,graduated from college/university,white,62.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,agnosticism,13
1,38.0,5.0,anything,2.0,never,working on grad,white,69.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,14
2,38.0,5.0,anything,3.0,never,graduated from college/university,white,68.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,20
3,38.0,4.0,anything,0.0,never,graduated from college/university,asian,63.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,catholicism,43
4,24.0,4.0,anything,2.0,sometimes,graduated from high school,white,68.0,retired,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,33
5,27.0,4.0,anything,2.0,never,graduated from college/university,white,67.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,37
6,33.0,3.0,anything,1.0,sometimes,graduated from college/university,white,68.0,computer / hardware / software,does_not_matter,sometimes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,12
7,26.0,5.0,anything,3.0,never,graduated from college/university,white,71.0,hospitality / travel,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,0
8,26.0,4.0,vegetarian,2.0,sometimes,graduated from college/university,white,75.0,education / academia,whatever,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,25
9,38.0,4.0,anything,2.0,sometimes,graduated from college/university,white,73.0,other,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,other,4
10,23.0,5.0,anything,2.0,never,graduated from college/university,white,61.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,catholicism,3
11,49.0,1.0,other,1.0,never,working on college/university,mixed,71.0,construction / craftsmanship,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,27
12,21.0,4.0,vegan,3.0,never,working on college/university,white,67.0,student,whatever,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,8
13,32.0,4.0,vegetarian,2.0,never,graduated from grad,white,67.0,computer / hardware / software,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,40
14,26.0,2.0,vegetarian,3.0,sometimes,working on college/university,mixed,68.0,other,whatever,when drinking,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,atheism,37
15,30.0,2.0,vegetarian,1.0,never,graduated from college/university,mixed,63.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,34
16,24.0,4.0,vegetarian,1.0,never,graduated from college/university,white,74.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,atheism,15
17,20.0,3.0,anything,3.0,often,graduated from high school,white,70.0,student,does_not_matter,sometimes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,9
18,29.0,3.0,anything,2.0,never,graduated from college/university,mixed,66.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,agnosticism,22
19,38.0,5.0,anything,2.0,never,graduated from grad,indian,72.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,atheism,4
20,21.0,3.0,anything,2.0,never,working on college/university,white,67.0,sales / marketing / biz dev,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,8
21,47.0,3.0,anything,2.0,never,graduated from high school,white,68.0,retired,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,christianity,27
22,21.0,2.0,anything,1.0,never,working on college/university,mixed,70.0,student,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,catholicism,9
23,20.0,5.0,other,2.0,never,working on college/university,mixed,74.0,student,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,none,29
24,27.0,3.0,anything,2.0,often,graduated from high school,mixed,68.0,artistic / musical / writer,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,catholicism,37
25,31.0,5.0,vegetarian,2.0,never,graduated from grad,mixed,62.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,other,11
26,31.0,5.0,anything,2.0,never,graduated from college/university,black,69.0,hospitality / travel,whatever,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,christianity,40
27,23.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,1
28,40.0,3.0,anything,2.0,never,graduated from grad,white,70.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,atheism,5
29,24.0,5.0,anything,2.0,sometimes,space camp,white,74.0,sales / marketing / biz dev,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,15
30,34.0,5.0,vegetarian,2.0,sometimes,graduated from college/university,white,64.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,46
31,53.0,3.0,anything,2.0,never,graduated from college/university,white,66.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,none,48
32,27.0,5.0,anything,2.0,never,graduated from grad,white,74.0,medicine / health,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,catholicism,25
33,24.0,3.0,anything,1.0,never,graduated from college/university,white,70.0,banking / financial / real estate,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,atheism,26
34,22.0,3.0,anything,3.0,sometimes,working on college/university,hispanic / latin,71.0,student,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,none,29
35,27.0,5.0,other,2.0,never,graduated from college/university,white,76.0,executive / management,does_not_matter,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,25
36,25.0,5.0,anything,2.0,sometimes,graduated from college/university,white,66.0,other,whatever,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,other,33
37,22.0,3.0,anything,2.0,never,graduated from college/university,white,64.0,education / academia,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,judaism,41
38,37.0,3.0,other,1.0,never,graduated from grad,white,72.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,christianity,4
39,30.0,5.0,anything,0.0,never,graduated from college/university,white,68.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,17
40,32.0,5.0,anything,1.0,never,working on college/university,white,68.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,40
41,44.0,5.0,vegetarian,2.0,never,graduated from college/university,white,68.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,24
42,29.0,4.0,other,0.0,never,graduated from college/university,white,69.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,buddhism,32
43,40.0,3.0,anything,2.0,sometimes,graduated from high school,mixed,69.0,artistic / musical / writer,whatever,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,none,5
44,26.0,5.0,vegetarian,2.0,never,graduated from grad,white,70.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,christianity,0
45,24.0,4.0,anything,2.0,never,graduated from college/university,white,71.0,science / tech / engineering,whatever,sometimes,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,1
46,22.0,4.0,other,2.0,never,graduated from college/university,white,64.0,sales / marketing / biz dev,whatever,when drinking,no,yes,no,no,yes,no,no,no,no,no,no,no,no,christianity,41
47,29.0,3.0,vegetarian,3.0,sometimes,graduated from grad,white,69.0,student,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,32
48,26.0,5.0,anything,3.0,sometimes,graduated from college/university,white,71.0,retired,whatever,sometimes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,christianity,0
49,41.0,4.0,anything,2.0,never,graduated from college/university,white,65.0,entertainment / media,whatever,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,catholicism,6
50,52.0,5.0,anything,2.0,never,graduated from high school,white,67.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,other,48
