,age,body_type,diet,drinks,drugs,education,ethnicity,height,job,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion,k proto labels,k-proto-labels
0,26.0,5.0,vegan,2.0,sometimes,graduated from college/university,white,62.0,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,agnosticism,1,1
1,38.0,5.0,anything,2.0,never,working on grad,white,69.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,9,9
2,38.0,5.0,anything,3.0,never,graduated from college/university,white,68.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,9,9
3,38.0,4.0,anything,0.0,never,graduated from college/university,asian,63.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism,28,28
4,24.0,4.0,anything,2.0,sometimes,graduated from high school,white,68.0,retired,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,3,3
5,27.0,4.0,anything,2.0,never,graduated from college/university,white,67.0,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,22,22
6,33.0,3.0,anything,1.0,sometimes,graduated from college/university,white,68.0,computer / hardware / software,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,45,45
7,26.0,5.0,anything,3.0,never,graduated from college/university,white,71.0,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,26,26
8,26.0,4.0,vegetarian,2.0,sometimes,graduated from college/university,white,75.0,education / academia,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,33,33
9,38.0,4.0,anything,2.0,sometimes,graduated from college/university,white,73.0,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other,17,17
10,23.0,5.0,anything,2.0,never,graduated from college/university,white,61.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,catholicism,19,19
11,49.0,1.0,other,1.0,never,working on college/university,mixed,71.0,construction / craftsmanship,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,29,29
12,21.0,4.0,vegan,3.0,never,working on college/university,white,67.0,student,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,15,15
13,32.0,4.0,vegetarian,2.0,never,graduated from grad,white,67.0,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,44,44
14,26.0,2.0,vegetarian,3.0,sometimes,working on college/university,mixed,68.0,other,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,atheism,22,22
15,30.0,2.0,vegetarian,1.0,never,graduated from college/university,mixed,63.0,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,36,36
16,24.0,4.0,vegetarian,1.0,never,graduated from college/university,white,74.0,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,33,33
