,Unnamed: 0,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,location,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion
12329,35185,38,single,m,straight,5,anything,2,never,graduated from college/university,asian,67.0,political / government,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
811,2193,31,single,f,gay,3,anything,2,never,graduated from college/university,mixed,62.0,other,A,whatever,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,Tatheism
8173,23402,43,single,f,straight,3,vegetarian,2,never,graduated from college/university,mixed,67.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,judaism
6505,18557,24,single,m,straight,5,anything,2,never,graduated from college/university,white,70.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
4106,11716,22,single,f,gay,4,anything,2,never,working on college/university,white,65.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none
7102,20290,34,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,72.0,hospitality / travel,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
6958,19873,51,single,m,gay,5,vegetarian,2,never,graduated from grad,white,72.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,buddhism
15844,45286,44,single,m,straight,5,vegetarian,1,never,graduated from grad,mixed,68.0,law / legal services,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,buddhism
15457,44167,29,single,m,gay,2,anything,0,never,graduated from high school,mixed,74.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
17587,50488,60,single,f,straight,3,vegetarian,2,never,graduated from grad,white,67.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,agnosticism
19049,54822,26,single,m,straight,5,anything,2,never,working on grad,white,72.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
3841,10898,24,single,f,straight,3,anything,2,never,graduated from college/university,asian,66.0,banking / financial / real estate,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
9098,25970,22,single,m,straight,3,anything,1,never,working on college/university,asian,64.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,christianity
3880,11002,22,single,f,straight,5,anything,2,never,graduated from college/university,asian,65.0,science / tech / engineering,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
11087,31617,32,single,m,straight,5,anything,0,never,graduated from grad,indian,70.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
12098,34539,54,single,f,straight,5,anything,2,never,graduated from college/university,white,65.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other
7380,21092,19,single,m,straight,2,anything,2,sometimes,working on college/university,black,73.0,other,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other
9923,28298,39,single,f,straight,3,vegetarian,2,never,working on grad,white,63.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
9408,26881,24,single,m,straight,5,anything,0,never,graduated from college/university,mixed,69.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
9435,26945,33,single,m,straight,5,anything,1,never,graduated from grad,asian,67.0,retired,A,whatever,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,christianity
12866,36700,37,single,f,straight,5,vegetarian,1,never,graduated from grad,indian,63.0,computer / hardware / software,A,whatever,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none
8003,22919,24,single,m,gay,3,anything,2,sometimes,graduated from college/university,white,73.0,artistic / musical / writer,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,Tatheism
15212,43454,29,single,m,straight,5,anything,2,never,graduated from grad,white,74.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
11845,33814,25,single,m,straight,5,anything,2,never,graduated from college/university,white,72.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
8522,24447,36,seeing someone,f,bisexual,2,anything,0,never,working on college/university,mixed,67.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
3208,8993,21,single,m,straight,3,anything,3,sometimes,working on college/university,white,71.0,hospitality / travel,A,whatever,trying to quit,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
13206,37685,21,single,m,gay,3,anything,3,never,working on college/university,white,72.0,student,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
3946,11200,39,single,f,straight,3,anything,1,never,graduated from college/university,white,67.0,clerical / administrative,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other
3951,11214,24,single,m,gay,2,anything,2,sometimes,graduated from college/university,black,67.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,other
20377,58625,38,single,m,straight,5,anything,2,never,graduated from college/university,hispanic / latin,67.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,catholicism
4593,13152,26,single,m,straight,4,anything,2,sometimes,graduated from college/university,mixed,69.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,agnosticism
6536,18662,47,single,m,straight,5,anything,3,sometimes,graduated from college/university,white,72.0,education / academia,A,whatever,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,Tatheism
12459,35563,24,single,m,straight,2,vegetarian,3,never,graduated from college/university,white,74.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
17318,49683,29,single,f,straight,5,anything,2,never,graduated from grad,white,68.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
18672,53759,37,single,f,straight,5,anything,2,never,graduated from college/university,white,66.0,entertainment / media,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,agnosticism
275,727,27,single,m,straight,5,anything,2,never,working on college/university,white,74.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
5895,16865,28,single,m,straight,3,anything,2,never,graduated from grad,mixed,70.0,science / tech / engineering,A,whatever,when drinking,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,hinduism.
15062,43092,24,single,m,straight,5,anything,2,never,graduated from college/university,white,74.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
5041,14479,30,single,m,straight,5,anything,2,sometimes,graduated from college/university,hispanic / latin,66.0,artistic / musical / writer,A,matters,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
10650,30366,29,single,m,straight,5,anything,2,never,graduated from college/university,white,72.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
13824,39427,40,single,m,straight,5,vegetarian,2,never,graduated from college/university,white,66.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
