,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,location,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion
0,22,single,m,straight,2,anything,2,never,working on college/university,mixed,75.0,transportation,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
1,35,single,m,straight,3,other,3,sometimes,space camp,white,70.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
7,31,single,f,straight,3,anything,2,never,graduated from college/university,white,65.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,christianity
9,37,single,m,straight,5,anything,0,never,working on college/university,white,65.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
11,28,seeing someone,m,straight,3,anything,2,never,graduated from college/university,white,72.0,banking / financial / real estate,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,christianity
13,30,single,f,straight,4,anything,2,never,graduated from high school,white,66.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
14,29,single,f,straight,4,anything,2,never,working on college/university,mixed,62.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism
18,31,single,m,straight,3,vegetarian,1,never,space camp,white,71.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
19,33,single,m,straight,5,anything,2,never,graduated from grad,white,72.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
20,27,single,f,straight,3,anything,2,never,graduated from college/university,white,67.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism
22,30,single,m,straight,5,anything,2,never,graduated from college/university,white,69.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
23,30,single,m,straight,4,vegan,0,never,graduated from college/university,white,71.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
24,33,single,m,straight,4,anything,2,sometimes,graduated from college/university,white,73.0,artistic / musical / writer,A,matters,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,other
25,28,single,m,straight,5,anything,1,never,graduated from college/university,mixed,70.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none
26,22,single,m,straight,5,anything,2,never,working on college/university,mixed,72.0,clerical / administrative,A,whatever,trying to quit,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,catholicism
32,38,single,f,straight,3,anything,2,never,graduated from college/university,white,67.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
34,27,single,m,straight,4,anything,2,never,graduated from college/university,white,69.0,entertainment / media,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
36,32,single,m,straight,5,anything,2,never,graduated from college/university,white,69.0,science / tech / engineering,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,buddhism
42,30,single,m,straight,3,anything,3,sometimes,graduated from grad,white,75.0,artistic / musical / writer,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other
44,29,single,f,bisexual,2,anything,2,sometimes,graduated from grad,white,66.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,other
49,26,single,f,straight,5,anything,2,never,graduated from college/university,white,66.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
54,33,single,m,straight,5,anything,1,never,graduated from college/university,white,69.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
55,33,single,m,gay,5,anything,2,never,graduated from college/university,white,70.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
60,31,seeing someone,m,straight,5,anything,2,never,working on college/university,mixed,67.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism
62,31,single,m,straight,4,anything,2,sometimes,graduated from grad,white,70.0,other,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
64,28,single,m,straight,5,anything,2,never,graduated from college/university,hispanic / latin,72.0,political / government,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none
65,29,single,m,straight,5,vegetarian,2,never,graduated from grad,white,68.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism
66,22,single,m,straight,5,anything,1,never,working on college/university,asian,65.0,education / academia,C,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,buddhism
72,35,single,m,straight,5,anything,2,sometimes,space camp,mixed,73.0,artistic / musical / writer,A,whatever,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
73,31,single,f,straight,2,anything,2,never,graduated from grad,indian,61.0,law / legal services,A,whatever,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,hinduism.
78,34,single,f,straight,2,anything,2,never,graduated from college/university,white,67.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,agnosticism
79,21,single,m,straight,5,anything,1,never,working on college/university,white,71.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
82,34,single,m,straight,5,anything,2,never,graduated from grad,white,69.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
90,24,single,m,straight,3,anything,2,never,graduated from college/university,black,74.0,sales / marketing / biz dev,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
94,29,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,67.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
98,31,single,f,straight,2,anything,2,sometimes,graduated from grad,white,66.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,Tatheism
102,41,single,m,straight,5,anything,2,often,space camp,white,69.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
104,31,single,f,straight,4,anything,2,never,graduated from grad,white,63.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none
105,42,single,f,straight,5,anything,2,never,graduated from grad,white,65.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,judaism
106,45,single,f,straight,5,anything,2,never,graduated from grad,asian,64.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
