,age,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion,hand-label
30518,26,f,straight,5,vegan,2,sometimes,graduated from college/university,white,62,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,agnosticism,T
56256,38,f,straight,5,anything,2,never,working on grad,white,69,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
31846,38,m,straight,5,anything,3,never,graduated from college/university,white,68,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
38659,38,f,straight,4,anything,0,never,graduated from college/university,asian,63,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism,
20309,24,f,gay,4,anything,2,sometimes,graduated from high school,white,68,retired,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
23337,27,m,straight,4,anything,2,never,graduated from college/university,white,67,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
29197,33,m,straight,3,anything,1,sometimes,graduated from college/university,white,68,computer / hardware / software,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,
30605,26,m,straight,5,anything,3,never,graduated from college/university,white,71,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,
35359,26,m,straight,4,vegetarian,2,sometimes,graduated from college/university,white,75,education / academia,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
6577,38,m,straight,4,anything,2,sometimes,graduated from college/university,white,73,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other,
8621,23,f,straight,5,anything,2,never,graduated from college/university,white,61,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,catholicism,
15592,49,m,straight,1,other,1,never,working on college/university,mixed,71,construction / craftsmanship,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
5856,21,m,gay,4,vegan,3,never,working on college/university,white,67,student,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
6884,32,m,straight,4,vegetarian,2,never,graduated from grad,white,67,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
54059,26,f,straight,2,vegetarian,3,sometimes,working on college/university,mixed,68,other,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,atheism,
36166,30,f,straight,2,vegetarian,1,never,graduated from college/university,mixed,63,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,
20518,24,m,straight,4,vegetarian,1,never,graduated from college/university,white,74,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,
40182,20,m,straight,3,anything,3,often,graduated from high school,white,70,student,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,
15339,29,f,straight,3,anything,2,never,graduated from college/university,mixed,66,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,agnosticism,
25375,38,m,straight,5,anything,2,never,graduated from grad,indian,72,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,atheism,
47349,21,f,straight,3,anything,2,never,working on college/university,white,67,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
15846,47,f,straight,3,anything,2,never,graduated from high school,white,68,retired,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity,
43908,21,m,straight,2,anything,1,never,working on college/university,mixed,70,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism,
52795,20,m,straight,5,other,2,never,working on college/university,mixed,74,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none,
48723,27,m,straight,3,anything,2,often,graduated from high school,mixed,68,artistic / musical / writer,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,catholicism,
6360,31,f,straight,5,vegetarian,2,never,graduated from grad,mixed,62,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,other,
56977,31,f,straight,5,anything,2,never,graduated from college/university,black,69,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,christianity,
23781,23,m,straight,5,anything,2,never,graduated from college/university,white,70,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
1136,40,m,straight,3,anything,2,never,graduated from grad,white,70,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,atheism,
1519,24,m,straight,5,anything,2,sometimes,space camp,white,74,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
51554,34,f,straight,5,vegetarian,2,sometimes,graduated from college/university,white,64,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,
54540,53,f,straight,3,anything,2,never,graduated from college/university,white,66,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,none,
1186,27,m,straight,5,anything,2,never,graduated from grad,white,74,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism,
22664,24,m,straight,3,anything,1,never,graduated from college/university,white,70,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,
4967,22,m,straight,3,anything,3,sometimes,working on college/university,hispanic / latin,71,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none,
9114,27,m,straight,5,other,2,never,graduated from college/university,white,76,executive / management,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
23833,25,f,straight,5,anything,2,sometimes,graduated from college/university,white,66,other,whatever,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,other,
53746,22,f,straight,3,anything,2,never,graduated from college/university,white,64,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,judaism,
1206,37,m,gay,3,other,1,never,graduated from grad,white,72,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity,
22634,30,m,straight,5,anything,0,never,graduated from college/university,white,68,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
16495,32,m,straight,5,anything,1,never,working on college/university,white,68,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
8322,44,f,straight,5,vegetarian,2,never,graduated from college/university,white,68,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
59464,29,f,straight,4,other,0,never,graduated from college/university,white,69,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,buddhism,
30294,40,m,straight,3,anything,2,sometimes,graduated from high school,mixed,69,artistic / musical / writer,whatever,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,none,
38981,26,m,straight,5,vegetarian,2,never,graduated from grad,white,70,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity,
28172,24,m,straight,4,anything,2,never,graduated from college/university,white,71,science / tech / engineering,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
53895,22,f,straight,4,other,2,never,graduated from college/university,white,64,sales / marketing / biz dev,whatever,when drinking,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,christianity,
3346,29,m,straight,3,vegetarian,3,sometimes,graduated from grad,white,69,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
9278,26,m,straight,5,anything,3,sometimes,graduated from college/university,white,71,retired,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity,
40806,41,f,straight,4,anything,2,never,graduated from college/university,white,65,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,catholicism,
17277,52,f,straight,5,anything,2,never,graduated from high school,white,67,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other,
27084,31,f,gay,2,other,1,sometimes,graduated from grad,black,65,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,
52445,29,m,gay,2,anything,2,never,working on grad,mixed,75,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none,
49635,30,f,straight,6,anything,2,never,graduated from college/university,mixed,65,entertainment / media,whatever,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
33714,37,m,straight,5,anything,3,never,graduated from college/university,white,73,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none,
43079,25,m,straight,4,anything,2,never,graduated from college/university,white,72,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
38598,55,m,straight,3,vegetarian,0,sometimes,space camp,white,71,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
37124,26,m,straight,5,anything,2,never,graduated from college/university,white,80,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,
24149,31,f,straight,5,anything,2,never,working on grad,white,63,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,46
5175,24,m,gay,4,anything,3,never,graduated from college/university,white,67,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,
30763,52,f,straight,4,anything,2,never,graduated from college/university,white,68,executive / management,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,catholicism,
53208,29,f,straight,3,vegetarian,3,never,graduated from grad,white,64,banking / financial / real estate,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,agnosticism,
35040,60,f,straight,3,anything,2,never,graduated from college/university,white,63,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,christianity,22
21432,29,f,straight,2,anything,0,sometimes,graduated from college/university,mixed,63,artistic / musical / writer,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
20463,37,m,straight,3,vegetarian,0,never,graduated from college/university,white,69,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
2341,25,m,straight,3,anything,2,never,graduated from high school,mixed,65,sales / marketing / biz dev,matters,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,
27348,23,m,straight,3,anything,2,never,graduated from grad,white,76,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,
46673,26,m,straight,3,anything,3,sometimes,graduated from college/university,mixed,76,other,whatever,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,other,
14007,23,f,straight,2,anything,1,never,graduated from college/university,mixed,62,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,
59348,20,m,straight,3,anything,1,never,working on college/university,mixed,68,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
57024,23,f,straight,2,anything,1,never,graduated from college/university,mixed,69,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
25544,42,m,straight,5,anything,3,never,graduated from college/university,asian,67,executive / management,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
26475,21,m,gay,2,anything,2,sometimes,working on college/university,white,72,computer / hardware / software,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none,
23136,30,m,bisexual,5,vegetarian,1,never,graduated from college/university,mixed,69,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
20014,28,m,straight,5,anything,2,never,graduated from grad,mixed,69,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,none,
41279,22,m,straight,5,anything,3,never,graduated from college/university,white,72,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism,
50494,50,m,straight,3,anything,2,never,graduated from college/university,white,67,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,christianity,15
30061,27,m,straight,3,anything,1,never,graduated from college/university,white,71,unemployed,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism,
