,location,Coords,Lats,Longs,cluster
0,"san francisco, california","{'lat': 37.7749295, 'lng': -122.4194155}",37.7749295,-122.4194155,0
1,"oakland, california","{'lat': 37.8043514, 'lng': -122.2711639}",37.8043514,-122.2711639,0
2,"berkeley, california","{'lat': 37.8715226, 'lng': -122.273042}",37.8715226,-122.273042,0
3,"san mateo, california","{'lat': 37.5629917, 'lng': -122.3255254}",37.5629917,-122.3255254,0
4,"palo alto, california","{'lat': 37.4418834, 'lng': -122.1430195}",37.4418834,-122.1430195,0
5,"alameda, california","{'lat': 37.7798721, 'lng': -122.2821855}",37.7798721,-122.2821855,0
6,"san rafael, california","{'lat': 37.9735346, 'lng': -122.5310874}",37.9735346,-122.5310874,0
7,"hayward, california","{'lat': 37.6687665, 'lng': -122.0809964}",37.6687665,-122.0809964,0
8,"emeryville, california","{'lat': 37.8395028, 'lng': -122.2892278}",37.8395028,-122.2892278,0
9,"redwood city, california","{'lat': 37.4847955, 'lng': -122.228141}",37.4847955,-122.228141,0
10,"daly city, california","{'lat': 37.6879241, 'lng': -122.4702079}",37.6879241,-122.4702079,0
11,"san leandro, california","{'lat': 37.7257663, 'lng': -122.1568554}",37.7257663,-122.1568554,0
12,"walnut creek, california","{'lat': 37.9100783, 'lng': -122.0651819}",37.9100783,-122.0651819,0
13,"vallejo, california","{'lat': 38.1040864, 'lng': -122.2566367}",38.1040864,-122.2566367,0
14,"menlo park, california","{'lat': 37.4529598, 'lng': -122.1817252}",37.4529598,-122.1817252,0
15,"richmond, california","{'lat': 37.9357576, 'lng': -122.3477486}",37.9357576,-122.3477486,0
16,"south san francisco, california","{'lat': 37.654656, 'lng': -122.4077498}",37.654656,-122.4077498,0
17,"mountain view, california","{'lat': 37.3860517, 'lng': -122.0838511}",37.3860517,-122.0838511,0
18,"novato, california","{'lat': 38.1074198, 'lng': -122.5697032}",38.1074198,-122.5697032,0
19,"burlingame, california","{'lat': 37.5778696, 'lng': -122.34809}",37.5778696,-122.34809,0
20,"pleasant hill, california","{'lat': 37.9479786, 'lng': -122.0607963}",37.9479786,-122.0607963,0
21,"castro valley, california","{'lat': 37.6955029, 'lng': -122.0738678}",37.6955029,-122.0738678,0
22,"stanford, california","{'lat': 37.42410599999999, 'lng': -122.1660756}",37.42410599999999,-122.1660756,0
23,"el cerrito, california","{'lat': 37.9161326, 'lng': -122.310765}",37.9161326,-122.310765,0
24,"pacifica, california","{'lat': 37.6138253, 'lng': -122.4869194}",37.6138253,-122.4869194,0
25,"martinez, california","{'lat': 38.0193657, 'lng': -122.1341321}",38.0193657,-122.1341321,0
26,"mill valley, california","{'lat': 37.9060368, 'lng': -122.5449763}",37.9060368,-122.5449763,0
27,"san bruno, california","{'lat': 37.6304904, 'lng': -122.4110835}",37.6304904,-122.4110835,0
28,"san pablo, california","{'lat': 37.9621457, 'lng': -122.3455263}",37.9621457,-122.3455263,0
29,"belmont, california","{'lat': 37.5202145, 'lng': -122.2758008}",37.5202145,-122.2758008,0
30,"albany, california","{'lat': 37.886704, 'lng': -122.2977557}",37.886704,-122.2977557,0
31,"san carlos, california","{'lat': 37.5071591, 'lng': -122.2605222}",37.5071591,-122.2605222,0
32,"benicia, california","{'lat': 38.049365, 'lng': -122.1585777}",38.049365,-122.1585777,0
33,"lafayette, california","{'lat': 37.8857582, 'lng': -122.1180201}",37.8857582,-122.1180201,0
34,"sausalito, california","{'lat': 37.8590937, 'lng': -122.4852507}",37.8590937,-122.4852507,0
35,"millbrae, california","{'lat': 37.5985468, 'lng': -122.3871942}",37.5985468,-122.3871942,0
36,"san anselmo, california","{'lat': 37.9746458, 'lng': -122.5616448}",37.9746458,-122.5616448,0
37,"el sobrante, california","{'lat': 37.9771452, 'lng': -122.2952474}",37.9771452,-122.2952474,0
38,"san lorenzo, california","{'lat': 37.6793968, 'lng': -122.1267054}",37.6793968,-122.1267054,0
39,"fairfax, california","{'lat': 37.9871454, 'lng': -122.5888686}",37.9871454,-122.5888686,0
40,"hercules, california","{'lat': 38.0171441, 'lng': -122.2885808}",38.0171441,-122.2885808,0
41,"pinole, california","{'lat': 38.0043667, 'lng': -122.2988587}",38.0043667,-122.2988587,0
42,"half moon bay, california","{'lat': 37.4635519, 'lng': -122.4285862}",37.4635519,-122.4285862,0
43,"fremont, california","{'lat': 37.5485396, 'lng': -121.988583}",37.5485396,-121.988583,0
44,"green brae, california","{'lat': 37.9476326, 'lng': -122.5252604}",37.9476326,-122.5252604,0
45,"orinda, california","{'lat': 37.8771476, 'lng': -122.1796888}",37.8771476,-122.1796888,0
46,"moraga, california","{'lat': 37.8349263, 'lng': -122.1296871}",37.8349263,-122.1296871,0
47,"larkspur, california","{'lat': 37.9340915, 'lng': -122.5352539}",37.9340915,-122.5352539,0
48,"corte madera, california","{'lat': 37.9254806, 'lng': -122.5274755}",37.9254806,-122.5274755,0
49,"belvedere tiburon, california","{'lat': 37.8774811, 'lng': -122.463708}",37.8774811,-122.463708,0
50,"atherton, california","{'lat': 37.4613272, 'lng': -122.197743}",37.4613272,-122.197743,0
